tb_name,field_comment
" ""frk"".""credit_regional_distribution""",'主键ID
" ""frk"".""credit_regional_distribution""",'统计类型
" ""frk"".""credit_regional_distribution""",'城市编码
" ""frk"".""credit_regional_distribution""",'统计值
